Cidade: Aracaju
sem Threads - Aracaju - Dia 1 - Temperatura [media=27.870833333333337, minima=25.1, maxima=31.7]
sem Threads - Aracaju - Dia 2 - Temperatura [media=27.616666666666674, minima=24.1, maxima=31.6]
sem Threads - Aracaju - Dia 3 - Temperatura [media=28.47916666666667, minima=26.3, maxima=32.3]
sem Threads - Aracaju - Dia 4 - Temperatura [media=28.370833333333334, minima=25.8, maxima=33.0]
sem Threads - Aracaju - Dia 5 - Temperatura [media=28.425000000000008, minima=25.6, maxima=33.3]
sem Threads - Aracaju - Dia 6 - Temperatura [media=28.229166666666668, minima=25.5, maxima=32.8]
sem Threads - Aracaju - Dia 7 - Temperatura [media=27.89583333333334, minima=25.3, maxima=31.2]
sem Threads - Aracaju - Dia 8 - Temperatura [media=27.629166666666674, minima=24.0, maxima=31.8]
sem Threads - Aracaju - Dia 9 - Temperatura [media=27.579166666666662, minima=25.0, maxima=30.0]
sem Threads - Aracaju - Dia 10 - Temperatura [media=26.95416666666667, minima=25.4, maxima=29.2]
sem Threads - Aracaju - Dia 11 - Temperatura [media=26.429166666666664, minima=24.9, maxima=28.8]
sem Threads - Aracaju - Dia 12 - Temperatura [media=27.079166666666666, minima=24.2, maxima=30.2]
sem Threads - Aracaju - Dia 13 - Temperatura [media=27.370833333333334, minima=23.8, maxima=30.8]
sem Threads - Aracaju - Dia 14 - Temperatura [media=27.766666666666662, minima=24.5, maxima=30.9]
sem Threads - Aracaju - Dia 15 - Temperatura [media=27.8625, minima=25.5, maxima=31.1]
sem Threads - Aracaju - Dia 16 - Temperatura [media=28.083333333333332, minima=25.9, maxima=31.3]
sem Threads - Aracaju - Dia 17 - Temperatura [media=27.254166666666663, minima=25.3, maxima=30.0]
sem Threads - Aracaju - Dia 18 - Temperatura [media=27.254166666666666, minima=25.1, maxima=29.8]
sem Threads - Aracaju - Dia 19 - Temperatura [media=27.90833333333333, minima=26.0, maxima=30.2]
sem Threads - Aracaju - Dia 20 - Temperatura [media=28.154166666666665, minima=25.3, maxima=31.9]
sem Threads - Aracaju - Dia 21 - Temperatura [media=29.050000000000008, minima=26.0, maxima=35.6]
sem Threads - Aracaju - Dia 22 - Temperatura [media=29.137500000000003, minima=26.5, maxima=34.7]
sem Threads - Aracaju - Dia 23 - Temperatura [media=29.358333333333334, minima=26.7, maxima=34.6]
sem Threads - Aracaju - Dia 24 - Temperatura [media=28.562499999999996, minima=26.1, maxima=33.9]
sem Threads - Aracaju - Dia 25 - Temperatura [media=27.720833333333335, minima=25.8, maxima=32.0]
sem Threads - Aracaju - Dia 26 - Temperatura [media=27.587500000000002, minima=25.4, maxima=30.8]
